No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
145,16.64,16.65,210,200.1,195.3,190.1,40.1,1.33,6.5,1250.19,78.21,46.74,2,8.11,11,1198.06,4.86,10.96,63.11,28.27,6.5,8,49.03,0.32,145
146,16.64,16.66,209.9,200.1,195.1,190,40.2,1.33,6.52,1249.57,78.2,47.09,2,8.12,11.03,1201.68,4.87,11.01,63.11,28.27,6.52,8,49.03,0.32,146
147,16.64,16.64,210,200.1,195,190,40.2,1.33,6.59,1242.83,78.13,46.41,2,8.13,11.07,1207.79,4.82,11.06,63.11,28.27,6.59,8,49.03,0.33,147
148,16.66,16.64,209.9,200.1,195,190,40.2,1.35,6.5,1259.42,78.16,48.93,2,8.14,11,1179.73,4.87,10.99,63.11,28.27,6.5,8,49.03,0.32,148
149,16.64,16.66,210,200.1,195.1,190.1,40.1,1.34,6.44,1238.72,78.23,46.89,2,8.1,10.92,1204.17,4.89,10.9,63.11,28.27,6.44,8,49.03,0.33,149
150,16.64,16.66,210,200.2,195.1,190,40.1,1.34,6.42,1254.56,78.34,47.46,2,8.13,10.89,1189.7,4.9,10.87,63.11,28.27,6.42,8,49.03,0.33,150
151,16.62,16.66,209.9,200.2,194.8,189.9,39.9,1.34,6.41,1257.17,78.28,46.62,2,8.14,10.88,1187.21,4.89,10.86,63.11,28.27,6.41,8,49.03,0.32,151
152,16.64,16.65,210,200.1,194.9,190,40,1.34,6.53,1256.43,78.14,45.58,2,8.1,11.02,1196.44,4.83,11.01,63.11,28.27,6.53,8,49.03,0.33,152
153,16.66,16.64,210.1,200.1,194.8,190,40,1.35,6.55,1281.74,78.11,46.86,2,8.12,11.05,1162.27,4.86,11.03,63.11,28.27,6.55,8,49.03,0.32,153
154,16.66,16.68,210.1,200.1,194.9,190.1,40.2,1.36,6.49,1292.09,78.18,44.71,2,8.11,10.97,1131.71,4.85,10.96,63.11,28.27,6.49,8,49.03,0.32,154
