No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
0,16.54,16.52,210.2,200.7,193.5,187.3,40.1,1.23,6.02,1211.65,78.37,20.6,2,8.14,10.51,1062,4.74,10.46,63.11,28.27,6.02,8,49.03,0.32,0
1,16.56,16.54,210.2,200.8,193.5,187.2,40.2,1.24,6.02,1211.65,78.37,20.6,2,8.14,10.51,1062,4.81,10.49,63.11,28.27,6.02,8,49.03,0.32,1
2,16.58,16.56,210.1,200.7,193.5,187.2,40.2,1.26,6.02,1209.16,78.32,35.38,2,8.12,10.54,1101.41,4.8,10.53,63.11,28.27,6.02,8,49.03,0.32,2
3,16.62,16.58,210.1,200.6,193.5,187.2,40.2,1.3,6.28,1228.24,78.19,36.35,2,8.12,10.79,1092.55,4.84,10.78,63.11,28.27,6.28,8,49.03,0.33,3
4,16.62,16.62,210,200.5,193.4,187.3,40.1,1.31,6.46,1287.11,77.99,46.1,2,8.1,10.96,1153.41,4.86,10.94,63.11,28.27,6.46,8,49.03,0.33,4
5,16.62,16.64,210,200.4,193.4,187.3,40.1,1.3,6.43,1261.17,78.07,47.77,2,8.11,10.94,1176.73,4.87,10.92,63.11,28.27,6.43,8,49.03,0.33,5
6,16.62,16.62,210,200.3,193.3,187.4,40,1.31,6.51,1276.63,78.03,46.78,2,8.11,11,1162.02,4.84,10.99,63.11,28.27,6.51,8,49.03,0.33,6
7,16.62,16.62,210.1,200.3,193.4,187.5,40,1.3,6.38,1285.61,78.17,45.13,2,8.12,10.89,1151.92,4.87,10.87,63.11,28.27,6.38,8,49.03,0.32,7
8,16.6,16.64,210,200.4,193.4,187.7,39.9,1.31,6.39,1241.21,78.11,39.1,2,8.14,10.9,1108.89,4.89,10.89,63.11,28.27,6.39,8,49.03,0.32,8
9,16.62,16.62,209.9,200.3,193.6,187.9,40,1.32,6.4,1283.99,78.17,45.59,2,8.12,10.9,1149.05,4.93,10.88,63.11,28.27,6.4,8,49.03,0.32,9
10,16.62,16.64,210,200.2,193.6,188,40.1,1.32,6.43,1283.86,78.06,43.91,2,8.13,10.93,1131.71,4.83,10.91,63.11,28.27,6.43,8,49.03,0.32,10
11,16.64,16.62,210,200.2,193.6,188.1,40.2,1.32,6.4,1265.53,78.15,47.82,2,8.12,10.88,1165.76,4.91,10.86,63.11,28.27,6.4,8,49.03,0.32,11
12,16.62,16.64,210,200.2,193.7,188.3,40.1,1.32,6.37,1276.38,78.19,44.05,2,8.13,10.87,1130.47,4.88,10.85,63.11,28.27,6.37,8,49.03,0.32,12
13,16.62,16.64,210,200.2,193.8,188.4,40.1,1.32,6.47,1290.1,78.07,45.22,2,8.14,10.96,1136.58,4.9,10.94,63.12,28.27,6.47,8,49.03,0.32,13
14,16.62,16.64,210.1,200.1,193.8,188.4,40.1,1.32,6.55,1276.63,78,47.77,2,8.1,11.08,1169.25,4.91,11.06,63.11,28.27,6.55,8,49.03,0.32,14
15,16.6,16.64,210.1,200,193.8,188.5,40,1.31,6.53,1275.88,78.05,46.54,2,8.12,11.05,1159.28,4.9,11.04,63.11,28.27,6.53,8,49.03,0.32,15
16,16.6,16.62,210,200,193.9,188.7,40.1,1.3,6.44,1268.65,78.16,45.83,2,8.12,10.93,1171.37,4.89,10.92,63.12,28.27,6.44,8,49.03,0.32,16
17,16.62,16.6,210,200,194,188.7,40.1,1.31,6.49,1248.82,78.15,39.83,2,8.14,10.98,1111.39,4.84,10.97,63.11,28.27,6.49,8,49.03,0.32,17
18,16.62,16.64,209.9,199.9,194,188.7,40,1.31,6.43,1291.47,78.17,44.84,2,8.12,10.92,1139.57,4.9,10.91,63.11,28.27,6.43,8,49.03,0.32,18
19,16.62,16.62,210,199.9,194,188.7,40,1.31,6.5,1257.17,78.09,47.88,2,8.12,10.97,1184.97,4.87,10.95,63.11,28.27,6.5,8,49.03,0.32,19
20,16.62,16.64,210,200.1,194.1,188.9,40,1.32,6.5,1262.54,78.11,48.27,2,8.14,10.99,1166.76,4.89,10.97,63.11,28.27,6.5,8,49.03,0.32,20
21,16.62,16.64,209.9,200.1,194.3,189,40,1.33,6.47,1273.64,78.07,48.16,2,8.12,10.96,1156.53,4.9,10.95,63.12,28.27,6.47,8,49.03,0.32,21
22,16.64,16.64,210,200.1,194.3,189,40,1.34,6.52,1289.23,78.13,46.9,2,8.13,11,1146.8,4.87,10.99,63.11,28.27,6.52,8,49.03,0.32,22
23,16.64,16.64,210,200,194.3,189,40,1.32,6.38,1280.99,78.21,45.5,2,8.14,10.9,1149.8,4.9,10.89,63.12,28.27,6.38,8,49.03,0.32,23
24,16.62,16.64,210,200,194.3,189.1,40.1,1.32,6.36,1267.15,78.23,42.8,2,8.14,10.86,1126.97,4.92,10.85,63.11,28.27,6.36,8,49.03,0.32,24
25,16.62,16.64,210.1,200,194.3,189.2,40.1,1.31,6.51,1274.14,78.08,46.8,2,8.14,11.02,1170.75,4.9,10.98,63.11,28.27,6.51,8,49.03,0.32,25
26,16.62,16.62,210,200.1,194.3,189.2,40.1,1.32,6.47,1294.59,78.08,44.29,2,8.13,11,1144.68,4.9,10.98,63.11,28.27,6.47,8,49.03,0.32,26
27,16.62,16.64,210,200,194.3,189.2,40.1,1.31,6.49,1286.23,78.12,45.54,2,8.12,11.03,1158.15,4.88,11.01,63.11,28.27,6.49,8,49.03,0.32,27
28,16.62,16.62,210,200,194.2,189.3,40.1,1.31,6.58,1251.94,78.02,47.67,2,8.13,11.08,1193.95,4.87,11.06,63.11,28.27,6.58,8,49.03,0.32,28
29,16.62,16.62,210,200.1,194.2,189.5,40,1.31,6.53,1251.44,78.1,47.95,2,8.11,11.02,1188.33,4.88,11.02,63.11,28.27,6.53,8,49.03,0.32,29
30,16.62,16.64,210,199.9,194.3,189.5,40,1.32,6.54,1238.97,78.09,47.44,2,8.1,11.06,1208.91,4.87,11.06,63.11,28.27,6.54,8,49.03,0.32,30
31,16.62,16.64,210,199.9,194.3,189.4,39.9,1.32,6.37,1268.9,78.2,48.48,2,8.1,10.89,1167.51,4.9,10.88,63.11,28.27,6.37,8,49.03,0.32,31
32,16.62,16.64,209.9,200.1,194.3,189.5,40,1.32,6.43,1284.61,78.09,45.38,2,8.14,10.94,1144.81,4.84,10.93,63.11,28.27,6.43,8,49.03,0.32,32
33,16.62,16.64,210.1,200.1,194.3,189.6,40.2,1.31,6.47,1284.24,78.11,45.57,2,8.11,10.99,1149.92,4.86,10.98,63.11,28.27,6.47,8,49.03,0.32,33
34,16.62,16.62,210.1,200.1,194.5,189.6,40.2,1.31,6.44,1273.39,78.13,46.49,2,8.14,10.95,1158.65,4.87,10.94,63.11,28.27,6.44,8,49.03,0.32,34
35,16.62,16.62,210,199.9,194.5,189.7,40.2,1.31,6.44,1280.62,78.22,44.05,2,8.13,10.91,1132.96,4.86,10.9,63.12,28.27,6.44,8,49.03,0.33,35
36,16.62,16.64,210.1,200,194.6,189.6,40.2,1.32,6.46,1275.51,78.22,43.65,2,8.13,10.95,1126.1,4.9,10.93,63.11,28.27,6.46,8,49.03,0.32,36
37,16.62,16.64,210,200,194.6,189.8,40.2,1.33,6.48,1285.23,78.08,45.88,2,8.13,11.02,1152.91,4.92,11.01,63.11,28.27,6.48,8,49.03,0.32,37
38,16.62,16.65,209.9,200.1,194.7,189.9,40.1,1.32,6.44,1261.29,78.13,48.16,2,8.11,10.98,1173.37,4.88,10.96,63.11,28.27,6.44,8,49.03,0.32,38
39,16.62,16.64,210,200.1,194.8,189.9,40.1,1.32,6.48,1250.07,78.15,47.86,2,8.1,10.95,1176.11,4.93,10.94,63.11,28.27,6.48,8,49.03,0.32,39
40,16.62,16.64,209.9,200,194.6,189.8,39.8,1.31,6.5,1254.31,78.13,47.81,2,8.11,10.98,1188.71,4.87,10.97,63.12,28.27,6.5,8,49.03,0.32,40
41,16.62,16.62,210,200,194.7,189.9,40,1.31,6.48,1273.76,78.12,42.67,2,8.14,10.98,1128.6,4.8,10.97,63.11,28.27,6.48,8,49.03,0.32,41
42,16.6,16.64,210,199.9,194.8,190,40,1.31,6.42,1254.06,78.18,40.35,2,8.12,10.94,1117.87,4.9,10.93,63.12,28.27,6.42,8,49.03,0.32,42
43,16.6,16.62,209.9,200,194.8,190,40.3,1.31,6.5,1271.52,78.08,41.46,2,8.12,11,1133.34,4.86,10.99,63.11,28.27,6.5,8,49.03,0.33,43
44,16.6,16.62,210,200,194.7,189.9,40.3,1.31,6.5,1266.65,78.12,47.41,2,8.14,11,1171.62,4.86,10.97,63.11,28.27,6.5,8,49.03,0.32,44
45,16.62,16.62,210,199.9,194.7,190,40.2,1.32,6.48,1241.21,78.19,47.39,2,8.11,10.98,1204.05,4.89,10.96,63.11,28.27,6.48,8,49.03,0.33,45
46,16.62,16.64,210,200,194.7,189.9,40.1,1.32,6.52,1269.9,78.08,48.43,2,8.13,11.03,1169,4.93,11.02,63.11,28.27,6.52,8,49.03,0.32,46
47,16.62,16.64,210,200.1,194.7,190,40,1.33,6.48,1275.26,78.14,48.81,2,8.14,10.99,1163.76,4.96,10.98,63.11,28.27,6.48,8,49.03,0.32,47
48,16.62,16.64,209.9,199.9,194.7,190,39.9,1.33,6.47,1285.11,78.1,46.39,2,8.13,11,1153.41,4.91,10.98,63.12,28.27,6.47,8,49.03,0.32,48
49,16.62,16.64,210,199.9,194.8,189.9,39.9,1.32,6.52,1272.26,78.05,46.94,2,8.11,11.05,1170.62,4.9,11.04,63.12,28.27,6.52,8,49.03,0.32,49
50,16.62,16.62,210,200.1,194.8,190,39.9,1.32,6.5,1279.12,78.08,46.44,2,8.1,11.03,1164.76,4.84,11.02,63.11,28.27,6.5,8,49.03,0.32,50
51,16.62,16.64,210,200,194.8,190,40,1.32,6.47,1288.35,78.11,44.78,2,8.12,10.98,1139.45,4.87,10.97,63.12,28.27,6.47,8,49.03,0.33,51
52,16.62,16.62,210,200,194.9,190,40.3,1.32,6.4,1230.24,78.24,36.3,2,8.14,10.9,1083.57,4.94,10.88,63.11,28.27,6.4,8,49.03,0.32,52
53,16.62,16.64,210,199.9,194.9,190,40.3,1.31,6.47,1276.5,78.14,46.84,2,8.1,11,1165.14,4.9,10.98,63.12,28.27,6.47,8,49.03,0.33,53
54,16.62,16.62,210,200,194.8,190,40.3,1.31,6.56,1244.33,78,47.39,2,8.14,11.04,1196.19,4.81,11.03,63.12,28.27,6.56,8,49.03,0.32,54
55,16.62,16.62,210,200,194.8,190.1,40.2,1.31,6.48,1245.58,78.14,47.87,2,8.14,10.96,1185.22,4.86,10.95,63.11,28.27,6.48,8,49.03,0.32,55
56,16.6,16.64,210,200.1,195,190.2,40,1.31,6.53,1253.56,78.11,48.04,2,8.12,11,1186.71,4.87,10.99,63.11,28.27,6.53,8,49.03,0.32,56
57,16.62,16.62,210,200,195,190.1,40,1.32,6.37,1281.24,78.26,46.11,2,8.13,10.89,1146.31,4.87,10.88,63.11,28.27,6.37,8,49.03,0.33,57
58,16.62,16.62,210.1,200.1,194.8,190,40,1.32,6.41,1284.74,78.2,46.01,2,8.1,10.92,1155.91,4.86,10.91,63.11,28.27,6.41,8,49.03,0.32,58
59,16.62,16.64,210,199.9,194.8,190,39.9,1.33,6.56,1250.44,78.07,47.61,2,8.1,11.04,1195.44,4.84,11,63.12,28.27,6.56,8,49.03,0.32,59
60,16.64,16.64,210,200,194.8,190,40,1.33,6.62,1252.68,78.02,47.58,2,8.13,11.07,1194.19,4.86,11.05,63.12,28.27,6.62,8,49.03,0.32,60
61,16.62,16.66,210,200.1,194.9,190.2,40.2,1.33,6.53,1238.97,78.14,46.2,2,8.14,10.99,1203.17,4.87,10.97,63.11,28.27,6.53,8,49.03,0.32,61
62,16.64,16.65,210,200.1,195,190.1,40.3,1.34,6.49,1276.88,78.15,48.42,2,8.13,10.99,1156.91,4.83,10.98,63.11,28.27,6.49,8,49.03,0.32,62
63,16.64,16.66,210,200.1,194.9,190.1,40.2,1.34,6.41,1288.6,78.17,45.67,2,8.13,10.9,1139.45,4.84,10.88,63.11,28.27,6.41,8,49.03,0.33,63
64,16.64,16.66,210,200.1,194.9,190,40.1,1.35,6.49,1261.17,78.15,48.61,2,8.1,10.96,1172.37,4.88,10.94,63.11,28.27,6.49,8,49.03,0.32,64
65,16.64,16.66,209.9,200,194.8,190,40.1,1.35,6.49,1255.05,78.16,48.95,2,8.1,10.97,1183.97,4.88,10.95,63.11,28.27,6.49,8,49.03,0.32,65
66,16.64,16.67,210,200.1,194.8,190,40,1.33,6.57,1237.84,78.1,46.37,2,8.13,11.04,1207.04,4.91,11.02,63.12,28.27,6.57,8,49.03,0.33,66
67,16.62,16.64,210,200.1,195.1,190.3,40,1.32,6.45,1249.94,78.18,47.71,2,8.11,10.97,1195.07,4.9,10.96,63.11,28.27,6.45,8,49.03,0.32,67
68,16.62,16.64,210,200.1,195.2,190.2,40,1.32,6.4,1289.1,78.23,44.44,2,8.1,10.9,1134.96,4.89,10.89,63.11,28.27,6.4,8,49.03,0.33,68
69,16.62,16.64,210,200.1,195,190.2,40,1.32,6.49,1263.04,78.16,47.8,2,8.13,10.98,1171,4.86,10.97,63.11,28.27,6.49,8,49.03,0.32,69
70,16.64,16.62,210,200.1,195,190.3,40,1.33,6.58,1240.59,78.08,47.21,2,8.13,11.06,1200.31,4.85,11.05,63.11,28.27,6.58,8,49.03,0.32,70
71,16.64,16.64,210,200,195.1,190.3,40.2,1.33,6.45,1234.98,78.19,46.2,2,8.12,10.96,1213.65,4.88,10.96,63.11,28.27,6.45,8,49.03,0.32,71
72,16.64,16.64,210,200.1,195,190.3,40.3,1.33,6.6,1236.35,78.09,46.4,2,8.14,11.07,1215.02,4.85,11.05,63.11,28.27,6.6,8,49.03,0.32,72
73,16.64,16.66,210,200,195,190.2,40.2,1.34,6.59,1279.25,78.04,49.38,2,8.11,11.1,1168.5,4.83,11.1,63.11,28.27,6.59,8,49.03,0.33,73
74,16.64,16.64,210,200,195.1,190.1,40.2,1.34,6.45,1278.13,78.24,47.93,2,8.13,10.96,1152.91,4.85,10.94,63.11,28.27,6.45,8,49.03,0.33,74
75,16.64,16.66,210,199.9,195,190,40.1,1.34,6.49,1284.61,78.16,46.05,2,8.12,10.99,1151.04,4.88,10.98,63.11,28.27,6.49,8,49.03,0.32,75
76,16.64,16.64,210,200,195.1,190.1,40.1,1.34,6.52,1260.67,78.14,47.55,2,8.11,11.04,1177.11,4.91,11.03,63.11,28.27,6.52,8,49.03,0.32,76
77,16.62,16.66,210,200.1,195.2,190.2,40,1.32,6.45,1262.16,78.25,47.71,2,8.13,10.95,1168.25,4.86,10.94,63.12,28.27,6.45,8,49.03,0.32,77
78,16.62,16.64,210,200.1,195.2,190.1,40,1.33,6.55,1246.57,78.18,47.83,2,8.14,11.01,1193.32,4.87,11,63.11,28.27,6.55,8,49.03,0.33,78
79,16.62,16.64,210,200.1,195.2,190.2,40,1.33,6.47,1262.41,78.26,48.83,2,8.1,10.97,1168.88,4.9,10.97,63.11,28.27,6.47,8,49.03,0.32,79
80,16.62,16.65,210,200.1,195.1,190.1,40,1.32,6.53,1257.92,78.09,48.32,2,8.11,11.04,1174.49,4.85,11.02,63.12,28.27,6.53,8,49.03,0.32,80
81,16.62,16.64,210,200.2,195.1,190.1,40,1.33,6.5,1242.71,78.12,48.37,2,8.11,11.04,1197.31,4.85,11.03,63.11,28.27,6.5,8,49.03,0.32,81
82,16.62,16.64,210,200.2,195.2,190.2,40.2,1.32,6.5,1273.14,78.14,47.93,2,8.14,11.01,1157.16,4.89,11,63.11,28.27,6.5,8,49.03,0.32,82
83,16.62,16.62,210,200.1,195.1,190.2,40.2,1.32,6.48,1238.97,78.27,46.51,2,8.13,10.96,1199.93,4.91,10.95,63.11,28.27,6.48,8,49.03,0.32,83
84,16.62,16.64,210,200,195.1,190.1,40.3,1.33,6.52,1257.92,78.16,47.78,2,8.14,11.02,1176.61,4.9,11.02,63.12,28.27,6.52,8,49.03,0.32,84
85,16.62,16.64,210,200.1,195,190.1,40.3,1.33,6.52,1265.03,78.16,48.12,2,8.11,11.03,1176.73,4.91,10.99,63.11,28.27,6.52,8,49.03,0.32,85
86,16.62,16.64,210,200,195.1,190.1,40.2,1.32,6.5,1251.31,78.2,47.93,2,8.12,10.98,1185.22,4.91,10.97,63.12,28.27,6.5,8,49.03,0.32,86
87,16.62,16.64,210,200,195.1,190,40.1,1.33,6.54,1249.82,78.16,48.31,2,8.13,11.04,1179.6,4.85,11.03,63.11,28.27,6.54,8,49.03,0.32,87
88,16.64,16.64,210,200,195,190,40.1,1.34,6.49,1246.32,78.18,48.46,2,8.1,10.98,1185.09,4.89,10.96,63.11,28.27,6.49,8,49.03,0.32,88
89,16.64,16.64,210,200,194.9,190,40.1,1.34,6.39,1255.8,78.28,48.13,2,8.11,10.9,1177.86,4.9,10.9,63.11,28.27,6.39,8,49.03,0.33,89
90,16.62,16.66,210,200.1,195.2,190,40.1,1.33,6.28,1281.24,78.4,45.92,2,8.13,10.79,1139.32,4.86,10.78,63.11,28.27,6.28,8,49.03,0.33,90
91,16.62,16.64,210.1,200,195.3,190,40,1.33,6.47,1274.14,78.21,47.19,2,8.1,10.98,1159.28,4.85,10.98,63.11,28.27,6.47,8,49.03,0.32,91
92,16.62,16.64,210,200,195.2,190,40,1.32,6.53,1258.3,78.17,47.42,2,8.12,11.06,1182.6,4.88,11.05,63.11,28.27,6.53,8,49.03,0.33,92
93,16.62,16.62,210.1,200.1,195.1,190,40.2,1.32,6.56,1253.06,78.13,47.53,2,8.12,11.04,1187.58,4.88,11.03,63.12,28.27,6.56,8,49.03,0.32,93
94,16.62,16.64,210,200.1,195.1,190.1,40.2,1.32,6.58,1242.83,78.14,46.67,2,8.1,11.05,1206.04,4.87,11.03,63.11,28.27,6.58,8,49.03,0.32,94
95,16.6,16.64,210,200.2,195.2,190.2,40.2,1.32,6.53,1251.44,78.15,48.04,2,8.11,11.04,1192.07,4.88,11.02,63.11,28.27,6.53,8,49.03,0.32,95
96,16.62,16.63,209.9,200.2,195.1,190.2,40.1,1.32,6.51,1279.25,78.18,48.66,2,8.12,10.99,1163.02,4.85,10.98,63.12,28.27,6.51,8,49.03,0.32,96
97,16.64,16.64,210,200.2,195,190.1,40.1,1.34,6.55,1251.06,78.13,48.6,2,8.14,11.05,1179.98,4.86,11.04,63.11,28.27,6.55,8,49.03,0.32,97
98,16.64,16.64,210,200.1,194.9,190.1,40.2,1.34,6.54,1241.09,78.09,47.92,2,8.12,11.05,1193.2,4.9,11.03,63.11,28.27,6.54,8,49.03,0.32,98
99,16.62,16.66,210,200.1,195,190.2,40.1,1.34,6.66,1253.31,78.04,47.87,2,8.11,11.13,1181.72,4.9,11.12,63.11,28.27,6.66,8,49.03,0.33,99
100,16.64,16.65,210,200.2,195.1,190.3,40.2,1.34,6.53,1251.69,78.19,47.78,2,8.13,11.01,1188.21,4.86,10.99,63.12,28.27,6.53,8,49.03,0.33,100
101,16.66,16.67,210,200.1,195.1,190.2,40.2,1.35,6.51,1287.11,78.16,46.92,2,8.1,11.04,1158.65,4.88,11,63.11,28.27,6.51,8,49.03,0.32,101
102,16.66,16.66,210,200.1,195.1,190.1,40.1,1.35,6.43,1283.86,78.3,46.58,2,8.12,10.95,1155.03,4.9,10.94,63.11,28.27,6.43,8,49.03,0.32,102
103,16.64,16.66,210,200.1,195.1,190.1,40.2,1.34,6.38,1258.67,78.33,48.71,2,8.14,10.91,1173.24,4.9,10.89,63.11,28.27,6.38,8,49.03,0.33,103
104,16.64,16.67,210,200.1,195.2,190.1,40.2,1.34,6.46,1239.71,78.21,48.23,2,8.12,10.98,1191.95,4.89,10.98,63.11,28.27,6.46,8,49.03,0.32,104
105,16.64,16.64,210.1,200.1,195.2,190.1,40.2,1.33,6.52,1236.22,78.24,47.17,2,8.12,10.99,1203.05,4.86,10.98,63.11,28.27,6.52,8,49.03,0.32,105
106,16.64,16.64,210,200.1,195.2,190,40.1,1.33,6.52,1236.6,78.2,46.02,2,8.11,11.01,1209.66,4.87,10.99,63.11,28.27,6.52,8,49.03,0.32,106
107,16.64,16.64,210.1,200.1,195.1,190,40.1,1.34,6.44,1253.06,78.28,48.56,2,8.1,10.95,1193.7,4.88,10.92,63.11,28.27,6.44,8,49.03,0.32,107
108,16.64,16.67,210,199.9,195.1,190,40.1,1.34,6.55,1254.31,78.13,48.11,2,8.12,11.05,1185.96,4.85,11.04,63.11,28.27,6.55,8,49.03,0.32,108
109,16.64,16.64,210,200.1,195.1,190.1,40,1.33,6.51,1251.19,78.15,47.88,2,8.11,11.03,1191.95,4.84,11.01,63.11,28.27,6.51,8,49.03,0.33,109
110,16.64,16.66,210,200.1,195.1,190.1,40,1.33,6.5,1255.3,78.16,48.07,2,8.13,11,1173.37,4.84,10.97,63.11,28.27,6.5,8,49.03,0.33,110
111,16.64,16.64,209.9,200,194.9,190.1,40,1.34,6.65,1236.85,78.11,46.84,2,8.14,11.13,1202.68,4.84,11.11,63.11,28.27,6.65,8,49.03,0.32,111
112,16.64,16.66,209.9,199.9,194.9,189.9,40,1.34,6.52,1251.44,78.2,48.7,2,8.13,11,1177.61,4.85,10.99,63.12,28.27,6.52,8,49.03,0.32,112
113,16.66,16.64,210,199.9,194.8,189.9,40,1.35,6.53,1261.29,78.19,49.49,2,8.11,11.02,1171,4.84,11.01,63.11,28.27,6.53,8,49.03,0.33,113
